id,family,language,source,page,year_of_occurrence,village_in_source,village,latitude,longitude,text_type,original,translation_Russian,translation_English,modal_marker,marker disamb,constr_type,copula_or_retr,complement,complement_form,inf_postposition,use,modal_or_non-modal,semantics,mod_type_vAP,mod_type_descriptive,negation_expressed,negation_scope,question,question_type,question_emb,overt_A_S,A_S_case,P_argument,P_number,P_overt,P_case,indexing,animacy,counted_in_corpus,counted_in_subcorpus,im_personality,rule or strategy,speaker info,dialect
wm369,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"vara ikman'arə̑štə̑ mə̑rə̑m käčäjen nälə̈näm , mə̑rə̑m kolə̑štə̑m ə̈nde , eče ves pačaš manam , internetə̈š pə̑ren anžə̑šaš .","Потом через некоторое время скачал песню, послушал песню, еще, говорю, один раз в интернет надо попробовать зайти.",NA,šaš,šaš,nfin,NA,VP,stem,,predicate,modal,necessity,external,intention,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm370,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,""" vara , ma tə̈xen' "", - manam , - "" anžalaš keleš , man'arə̑kə̑ kodə̑n oksažə̑ t'el'efonə̑štə̑ "".","""Потом, что такое"", - говорю, - ""надо посмотреть, сколько осталось денег на телефоне"".",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,non-modal,intention,external,intention,0,,no,,,0,no,,,,,,hum,not counted,,,,,
wm371,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"tak , mam ə̈štə̈mə̈lä , značit , sirə̈mäšə̈m siren koltaš keleš .","Так, что надо делать, письмо написать надо.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,,0,,yes,discourse,,0,no,,,,,,hum,present-day,,,,,
wm372,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"tak , mam ə̈štə̈mə̈lä , značit , sirə̈mäšə̈m siren koltaš keleš .","Так, что надо делать, письмо написать надо.",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,external,external,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm373,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"vara mə̈n'ə̈ internet gə̈cə̈nok , sajt gə̈cə̈n , m'egafon sajt gə̈cə̈n kop'irujen näl'ə̈m , mam siren , tə̈ t'ekstə̈m , kə̑štaken tüläš ak kel manə̑n siren šə̈ndə̈mə̈ , kop'irujen näl'ə̈m tožə̑ ves sirə̈mäškə̈ tə̈də̈m šə̈ndə̈šə̈m , tə̈ t'ekstə̈m , vara vot texen'vläm siren šə̈ndə̈šə̈m , kok stran'icə̈n , t'ekstə̈m siren šə̈ndə̈šə̈m , nab'iräjen šə̈ndə̈šə̈m komp'jutə̑rə̑štə̑ , mon'itorə̑štə̑ .","Потом я из интернета, с сайта ""Мегафона"" скопировал, что написано, этот текст, где было написано, что не надо платить, скопировал, тоже этот текст вставил в письмо, потом вот такой текст написал на две страницы, набрал на компьютере, на
мониторе.",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,deontic,deontic,1,,no,,,0,no,,,,,,hum,present-day,,,,,
wm374,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,""" jə̈leräk "", - manam , - "" koltaš keleš luat mažə̑ tə̈štäken судебный при ... m'irovoj sud'ja donə̑ ma ulə̑ vet , siren šə̈ndə̈mə̈, siren luat nə̈lə̈mšə̈ janvar' jakte [ нрзб ] koltaš keleš ... sirmäšə̈m , jesl'i ada jarə̑ktə̑ gə̈n'ə̈ , malə̑n tə̈xen' , malə̑n tə̈xen'ə̈ tämdän ulə̑ tülə̈šäšlə̑kdam ","""Быстрее"", - говорю, - ""послать надо, у мирового судьи написано ведь, что до 14 января послать надо письмо, если вам не
нравится задолженность по оплате"".",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,external,external,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm375,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,tidə̈m tožə̑ lə̑də̑n pumə̑la ?,Это тоже надо прочитать?,NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,,0,,yes,del,,0,no,,,,,,hum,present-day,,,,,
wm376,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"pakə̑la , lə̑dmə̑la , lə̑dmə̑la ?","Дальше, надо прочитать?",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,,0,,yes,del,,0,no,,,,,,hum,present-day,,,,,
wm377,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"vot mə̈n' tumajal'ə̑ m x'im'ij в общем - то , jesl'i tumajaš , školə̑štə̑š učebn'ikvläm anžə̑mə̑ godə̑m , tə̈štə̈ nasosvlä rovotajat , raznə̑j v'eš'ə̈stvavlä škeok jogat , nasosvlä käčäjät - tol'kə̑ anžə̑mə̑la vele sirə̈mə̈lä vele .","Вот я подумал, химия, в общем-то, если подумать, когда рассматриваешь школьные учебники, там насосы работают, разные
вещества сами текут, насосы качают - только смотреть надо, только записывать надо.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm378,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,kə̑škə̑ gə̑sudarstvə̑ kolta - tə̈štə̈ rovotajə̑mə̑la kok i .,Куда направит государство - там надо работать 2 года.,NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,institution,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm379,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"i tə̈redmə̈lä ə̑lə̑n nə̑rə̑štə̑ ... sarla dono tə̈redmə̈lä ə̑l'ə̑ šurnə̑m i atə̑lə̑m kodə̑mə̑la , tə̈ atə̑lə̑m , salat ə̑l'ə̑ , tə̈ atə̑lə̑m pukšat vol'ə̑klan .","И надо было в поле жать хлеб серпом, оставалась стерня, ту стерню косили и скармливали скотине.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,external,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm380,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"i tə̈redmə̈lä ə̑lə̑n nə̑rə̑štə̑ ... sarla dono tə̈redmə̈lä ə̑l'ə̑ šurnə̑m i atə̑lə̑m kodə̑mə̑la , tə̈ atə̑lə̑m , salat ə̑l'ə̑ , tə̈ atə̑lə̑m pukšat vol'ə̑klan .","И надо было в поле жать хлеб серпом, оставалась стерня, ту стерню косили и скармливали скотине.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,external,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm381,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"i tə̈redmə̈lä ə̑lə̑n nə̑rə̑štə̑ ... sarla dono tə̈redmə̈lä ə̑l'ə̑ šurnə̑m i atə̑lə̑m kodə̑mə̑la , tə̈ atə̑lə̑m , salat ə̑l'ə̑ , tə̈ atə̑lə̑m pukšat vol'ə̑klan .","И надо было в поле жать хлеб серпом, оставалась стерня, ту стерню косили и скармливали скотине.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,external,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm382,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,""" jə̈leräk "", - manam , - "" koltaš keleš luat mažə̑ tə̈štäken судебный при ... m'irovoj sud'ja donə̑ ma ulə̑ vet , siren šə̈ndə̈mə̈ , siren luat nə̈lə̈mšə̈ janvar' jakte [ нрзб ] koltaš keleš ... sirmäšə̈m , jesl'i ada jarə̑ktə̑ gə̈n'ə̈ , malə̑n tə̈xen' , malə̑n tə̈xen'ə̈ tämdän ulə̑ tülə̈šäšlə̑kdam ","""Быстрее"", - говорю, - ""послать надо, у мирового судьи написано ведь, что до 14 января послать надо письмо, если вам не
нравится задолженность по оплате"".",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,deontic,deontic,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm383,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"šarpanə̑m tə̈rläš , piš , piš mastarə̑n tə̈rläš keleš .","Вышивать шарпан, очень мастерски надо вышивать.",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,external,external,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm384,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,imn'ižə̈m pukšaš kelešät .,Коня кормить надо.,NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,external,external,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm385,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,aktə̑m siräs keleš manə̑nə̑t .,"акт написать надо, сказали",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,deontic,deontic,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm386,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,rušla siräš keleš i siräš tə̈ngäleš .,"По-русски писать надо, и писать начинает.",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,deontic,deontic,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm387,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"tene kə̑mlə̑ jadmaš ə̑lə̑n , dä každə̑j jadmašlan eče otv'etšə̈m ajə̑rə̑mə̑la .","В этом году было тридцать вопросов, и на каждый вопрос еще надо выбрать ответ.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,institution,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm388,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"otv'etvläžə̈m uže pumə̑ , pumə̑ otv'etvlä gə̈cə̈n töržə̈m ajə̑raš keleš .","Ответы уже даны, из данных ответов надо выбрать правильный.",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,deontic,deontic,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm389,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"jal gran'icäškə̈ , cikə̈škə̈ tə̈knə̈šäšlə̑k agə̑l .",Ногой границу – цик – задевать нельзя.,NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),1,,no,,,1,nom,,,,,,inan,present-day,games,personal,,,
wm390,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"kel ... keleš kačka ... kačkaš kečə̈ ... keč ... kečə̈ mə̑čkə̑ nə̈l gänä il'i və̈c gänä , no ik gänä kačmaštə̑ keleš kə̑m šüdə̈ gramə̑m vele , šukə̑m kačkaš ak kel , kə̑m šüdə̈ gramə̑m vele kačkaš keleš .","Надо есть в день 4-5 раз, но за один прием пищи надо только 300 г, много есть нельзя, 300 г только надо съедать.",NA,keläš,keläš,need,NA,VP,inf_aš,yes,predicate,modal,necessity,deontic,health,0,,no,,,0,no,,,,,,hum,present-day,,,,Sim,
wm391,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"kel ... keleš kačka ... kačkaš kečə̈ ... keč ... kečə̈ mə̑čkə̑ nə̈l gänä il'i və̈c gänä , no ik gänä kačmaštə̑ keleš kə̑m šüdə̈ gramə̑m vele , šukə̑m kačkaš ak kel , kə̑m šüdə̈ gramə̑m vele kačkaš keleš .","Надо есть в день 4-5 раз, но за один прием пищи надо только 300 г, много есть нельзя, 300 г только надо съедать.",NA,keläš,keläš,need,NA,VP_ellipsis,inf_aš,,predicate,modal,necessity,deontic,health,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm392,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"kel ... keleš kačka ... kačkaš kečə̈ ... keč ... kečə̈ mə̑čkə̑ nə̈l gänä il'i və̈c gänä , no ik gänä kačmaštə̑ keleš kə̑m šüdə̈ gramə̑m vele , šukə̑m kačkaš ak kel , kə̑m šüdə̈ gramə̑m vele kačkaš keleš .","Надо есть в день 4-5 раз, но за один прием пищи надо только 300 г, много есть нельзя, 300 г только надо съедать.",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,deontic,health,1,,no,,,0,no,,,,,,hum,present-day,,,,,
wm393,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"kel ... keleš kačka ... kačkaš kečə̈ ... keč ... kečə̈ mə̑čkə̑ nə̈l gänä il'i və̈c gänä , no ik gänä kačmaštə̑ keleš kə̑m šüdə̈ gramə̑m vele , šukə̑m kačkaš ak kel , kə̑m šüdə̈ gramə̑m vele kačkaš keleš .","Надо есть в день 4-5 раз, но за один прием пищи надо только 300 г, много есть нельзя, 300 г только надо съедать.",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,deontic,health,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm394,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,tə̈lec gač utə̑m kačkaš ak … ak kel .,Сверх этого лишнее нельзя есть.,NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,deontic,health,1,,no,,,0,no,,,,,,hum,present-day,,,,,
wm395,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,pren'äetšə̈ dono šalə̑m ə̈štenə̈ t tištə̈ və̈də̈štə̈ dä tišäken koltenə̈t tamavläm värə̈ktə̈lmə̈lä doko .,"Из бревен здесь, в воде, делали плоты и там пускали.",NA,mə̑la,mə̑la,,NA,VP,stem,,predicate,modal,?,?,,0,,no,,,0,no,,,,,,hum,not counted,,,,,
wm396,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"nu , r'eceptšə̈m cilän kon'ešno pälät , kə̑ce ə̈štə̈mə̈lä tə̑və̑rtə̑š patkagə̑l'ə̑m . ","Ну, рецепт, конечно, все знают, как готовить вареники с творогом.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,instruction (recipe),0,,yes,del,indir,0,no,,,,,,hum,present-day,,,,,
wm397,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,KVM : učit'el'n'icə̑žə̑m kə̑ce šagaltə̑mə̑la ?.,Учительницу как поставить?,NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,experiment (ref_com),0,,yes,del,,0,no,,,,,,hum,present-day,,,,,
wm398,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,KVM : öpät' kerə̈l koltə̑mə̑la ma ?.,Опять засунуть что ли?,NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,experiment (ref_com),0,,yes,del,,0,no,,,,,,hum,present-day,,,,,
wm399,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Paulkino,Paulkino,56.177803,46.754674,spontaneous,"marlažə̑ am pälə̈ , kə̑ce tə̈də̈m manmə̑la ","По-марийски не знаю, как это сказать.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,,0,,yes,del,indir,0,no,,,,,,hum,present-day,,,,,
wm400,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"Так , eče mam šajə̑št pumə̑la ?","Так, еще что рассказать?",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,what_tell,0,,yes,del,,0,no,,,,,,hum,present-day,,,,,
wm401,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"KVM : t'et' ... äzä , kə̑ce objasn'ajə̑mə̑lažə̑ ... .","Ребё... младенец, как объяснить-то…",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,what_tell,0,,yes,del,,0,no,,,,,,hum,present-day,,,,,
wm402,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"olma ak koeštält , eče kə̑ce vot objasn'ajen pumə̑la ə̈n'e tə̈länet < KVK : olma >, eče ma texen' lin kerdeš .","Про яблоко так нельзя [букв.: яблоко не волнуется], еще как вот, как тебе еще объяснить, что еще может быть такое.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,what_tell,0,,yes,del,,0,no,,,,,,hum,present-day,,,,,
wm403,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"KVM : tak , kə̑ce eče marla šamakšə̑m kelesə̈mə̈lä ?","Так, как еще сказать это слово по-марийски?",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,,0,,yes,del,,0,no,,,,,,hum,present-day,,,,,
wm404,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,cə̈zə̈m pukšə̑mə̑la .,Грудь дать.,NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,shlyapa,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm405,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,kidə̈š nälmə̈lä .,Взять на руки.,NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,shlyapa,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm406,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"kə̑celän madmə̑la , objasn'ajə̑mə̑la väl .","Как играть, объяснить.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,game rules,0,,yes,del,indir,0,no,,,,,,hum,present-day,,,,,
wm407,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"kə̑celän madmə̑la , objasn'ajə̑mə̑la väl .","Как играть, объяснить.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm408,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"mä šə̈lmə̈lä , štob ə̈nžə̈štə̈ kə̑čep ","Нам убегать, чтобы не поймали.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,,0,,no,,,1,nom,,,,,,hum,present-day,,,,,
wm409,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"Овощей - то да , cilä ... cilä jiš pičə̈ xädə̈rə̈m šə̈ndäš cacə̑mə̑la , rok ... .","Овощей-то да, приходится стараться сажать всякие вещи.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm410,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,Так ... eče mam šajə̑št pumə̑la ? ,Так... еще что рассказать?,NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,what_tell,0,,yes,del,,0,no,,,,,,hum,present-day,,,,,
wm411,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kukshilidy,Kukshilidy,56.171758,46.760177,spontaneous,""" oj kə̑nstant'in petə̈r , - maneš , - mə̈n'ə̈n pü piš kogon karšta , mam ə̈štə̈mə̈lä "" - maneš .","""Ой, Петр Константинович, -- говорит, -- у меня зуб очень болит, что же делать?"" -- говорит.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,external,0,,yes,del,dir_sp,0,no,,,,,,hum,present-day,,,,,
wm412,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"irgodə̑mat lieš vilovat školə̑štə̑ kurs , kə̑škə̑ tolə̑t obrazovan'i inst'itutə̑n sotrudn'ikvläžə̈ , tə̑mdə̑šə̑vlä , pr'epodavat'el'vlä , dä mämnän - kə̑rə̑ksirə̈štə̈ tə̑mdə̑šə̑vläm - päldäräš tə̈ngälə̈t kə̑celä ekzam'envläeš t'et'ävläm jämdə̈lə̈mə̈lä dä prov'eročnə̑j päšävläeš .","Завтра тоже в Виловатовской школе будет курс, куда приедут сотрудники института образования, учителя, преподаватели, и
нас - учителей горномарийского района - будут знакомить с тем, как готовить детей к экзаменам и проверочным работам.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,institution,0,,yes,del,indir,0,no,,,,,,hum,present-day,,,,,
wm413,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"cilän tə̈də̈län d'iktujat , mam sirə̈mə̈lä .","Все ему диктуют, что писать.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,,0,,yes,del,indir,0,no,,,,,,hum,present-day,,,,,
wm414,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,šə̈cmə̈lä dä pidə̈mə̈lä vele .,"[На станке все нити, все есть]. Садись и вяжи только.",NA,mə̑la,mə̑la,,NA,VP,stem,,predicate,modal,possibility,external,potential,0,,no,,,0,no,,,,,,hum,not counted,,,,,
wm415,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,šə̈cmə̈lä dä pidə̈mə̈lä vele .,"[На станке все нити, все есть]. Садись и вяжи только.",NA,mə̑la,mə̑la,,NA,VP,stem,,predicate,modal,possibility,external,potential,0,,no,,,0,no,,,,,,hum,not counted,,,,,
wm416,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"p'atačok maneš : "" a ə̈nde mam ə̈štə̈mə̈lä","Пятачок говорит: ""А теперь что делать?"".",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,deontic,,0,,yes,del,dir_sp,0,no,,,,,,hum,present-day,,,,,
wm417,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"vot teve tidə̈m äšə̈ndärem , jesl'i at šo gə̈n'ə̈ vara ma limlä ə̑l'ə̑ , no tə̈štäken eče tägü vod'aš'ij ə̑lə̑n .","Вот это помню, если не успеешь, потом что будет, там еще кто-нибудь был водяшим.",NA,mə̑la,mə̑la,,NA,VP,stem,,predicate,modal,possibility,external,potential,0,,yes,general,,1,nom,,,,,,inan,not counted,,,,,
wm418,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,kütə̈m üm äl' jitə̈nüm iziš pištälälmə̈lä .,Сливочное масло или подсолнечное масло немного добавить.,NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,instruction (recipe),0,,no,,,0,no,,,,,,hum,present-day,recipes,impersonal,,,
wm419,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,nüštə̈l šə̈ndə̈mə̈lä kagə̑l' gan'ok pingə̈d ... kogon pingə̈də̈ ə̈nžə̈ li .,"Замесить тесто как для пирога, чтобы тесто не очень твердым было.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,instruction (recipe),0,,no,,,0,no,,,,,,hum,present-day,recipes,impersonal,,,
wm420,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"dä jitə̈r dono tə̈də̈m ... mam ə̈štə̈mə̈lä ... ммм господи ... раскатать тесто , не могу вспомнить слово ... jitə̈r dono ... a pə̈täri anaš keleš .",Да скалкой его... что делаем... <раскатываем> скалкой... сначала руками подготовить.,NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,instruction (recipe),0,,no (yes?),,,0,no,,,,,,hum,present-day,recipes,impersonal,,,
wm421,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"duxofkə̑m jörtə̈mə̈kə̈ i eče iziš šə̈nzə̈ktälmə̈lä , pə̑škə̑demžə̈ .","После того как выключили духовку, еще некоторое время пусть постоит там, чтобы пышным стал.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,instruction (recipe),0,,no,,,0,no,,,,,,hum,present-day,recipes,impersonal,,,
wm422,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"mam ə̈štə̈mə̈lä , am ... mə̈škə̈r karšta .","Что делать, не... живот болит.",NA,mə̑la,mə̑la,nfin,NA,VP,stem,,predicate,modal,necessity,external,question to self,0,,yes,del,indir,0,no,,,,,,hum,present-day,,,,,
